strain_name,accession_number,lead_author,permission_type,publication_pubmed_id,permission_to_use,preliminarily_include
COL/FLR_00003/2015,MF574560,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00004/2015,MF574561,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00005/2015,MF574571,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00006/2015,MF574555,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00007/2015,MF574557,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00008/2015,MF574562,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00009/2015,MF574572,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00010/2015,MF574570,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00011/2015,MF574565,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00012/2015,MF574568,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00013/2015,MF574558,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00014/2015,MF574576,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00015/2015,MF574567,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00016/2015,MF574575,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00017/2015,MF574553,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00018/2015,MF574573,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00019/2015,MF574574,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00020/2015,MF574577,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00021/2015,MF574556,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00022/2015,MF574554,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00023/2015,MF574566,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00024/2015,MF574569,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00025/2015,MF574563,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00026/2015,MF574564,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00034/2015,MF574581,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00035/2015,MF574588,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00036/2015,MF574582,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00038/2015,MF574586,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00040/2015,MF574584,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00041/2015,MF574583,Pickett et al,unpublished,NA,not_necessary,yes
COL/FLR_00042/2015,MF574580,Pickett et al,unpublished,NA,not_necessary,yes
COL/PAN_00029/2015,MF574585,Pickett et al,unpublished,NA,not_necessary,yes
COL/PAN_00030/2015,MF574587,Pickett et al,unpublished,NA,not_necessary,yes
COL/PRV_00027/2015,MF574579,Pickett et al,unpublished,NA,not_necessary,yes
COL/PRV_00028/2015,MF574578,Pickett et al,unpublished,NA,not_necessary,yes
HND/00002/2016,MK713750,Pickett et al,unpublished,NA,not_necessary,yes
MRS_OPY_Martinique_PaRi_2015,KU647676,Piorkowski et al,previously_published,27274849,not_necessary,yes
Dominican_Republic/2016/ZB,MF664436,Prilipov et al,unpublished,NA,permission_not_received,no
TS17_2016,KX806557,Pyke et al,unpublished,NA,permission_not_received,no
Colombia/2016/ZC188Se,KY317936,Quick et al,previously_published,28538739,not_necessary,yes
Colombia/2016/ZC192Se,KY317937,Quick et al,previously_published,28538739,not_necessary,yes
Colombia/2016/ZC199Se,KY317938,Quick et al,previously_published,28538739,not_necessary,yes
Colombia/2016/ZC204Se,KY317939,Quick et al,previously_published,28538739,not_necessary,yes
Colombia/2016/ZC207Se,KY317940,Quick et al,previously_published,28538739,not_necessary,yes
Panama/2015/259249,MK028858,Rios et al,unpublished,NA,permission_not_received,no
Panama/2015/259359,MK028861,Rios et al,unpublished,NA,permission_not_received,no
Panama/2015/259364,MK028859,Rios et al,unpublished,NA,permission_not_received,no
Puerto_Rico/2015/PRVABC59,MK028857,Rios et al,unpublished,NA,permission_not_received,no
COL345Si,MH179341,Sermeno-Correa et al,unpublished,NA,permission_not_received,no
ENCB165P4,KY631494,Sevilla-Reyes et al,unpublished,NA,permission_not_received,no
MEX_ENCB165,KY631493,Sevilla-Reyes et al,unpublished,NA,permission_not_received,no
Aedes_aegypti/MEX/MEX_I_44/2016,KY648934,Shabman et al,unpublished,NA,use_permission_granted,yes
Aedessp/MEX/MEX_2_81/2016,KX446950,Shabman et al,unpublished,NA,use_permission_granted,yes
Aedessp/MEX/MEX_I_7/2016,KX446951,Shabman et al,unpublished,NA,use_permission_granted,yes
COL/FLR/2015,KX087102,Shabman et al,unpublished,NA,use_permission_granted,yes
HND/R103451/2015,KX694534,Shabman et al,unpublished,NA,use_permission_granted,yes
MEX/R116265/2016,MG595216,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/4886_12A1/2016,KY765321,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/5005_13A1/2016,KY765327,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/6188_13A1/2016,KY765326,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/6406_13A1/2016,KY765320,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/7252_12A1/2016,KY765317,Shabman et al,unpublished,NA,use_permission_granted,yes
NIC/8610_13A1/2016,KY765324,Shabman et al,unpublished,NA,use_permission_granted,yes
PAN/BEI_259634_V4/2016,KX198135,Shabman et al,unpublished,NA,use_permission_granted,yes
PAN/CDC_259249_V1_V3/2015,KX156775,Shabman et al,unpublished,NA,use_permission_granted,yes
PAN/CDC_259359_V1_V3/2015,KX156774,Shabman et al,unpublished,NA,use_permission_granted,yes
PAN/CDC_259364_V1_V2/2015,KX156776,Shabman et al,unpublished,NA,use_permission_granted,yes
BR/AM/16800005,KY631492,Souza et al,unpublished,NA,permission_not_received,no
NL00013,KU937936,Stalin Raj et al,unpublished,NA,permission_not_received,no
V15098,MF073359,Strottmann et al,unpublished,NA,permission_not_received,no
V15261,MF073358,Strottmann et al,unpublished,NA,permission_not_received,no
V16288,MF073357,Strottmann et al,unpublished,NA,permission_not_received,no
USA/UT_1/2016,KX827268,Swaminathan et al,previously_published,27681699,not_necessary,yes
Nica1_16,KX421195,Tabata et al,previously_published,27443522,not_necessary,yes
Nica2_16,KX421194,Tabata et al,previously_published,27443522,not_necessary,yes
Chiba/S36/2016,LC191864,Taira et al,previously_published,28367888,not_necessary,yes
MEX/41_001_F_V3_O/2016,MH157213,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_001_F_V7_O/2016,MH157201,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_006_F_V0_O/2016,MH157209,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_017_F_V0_O/2016,MH157199,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_017_F_V3_O/2016,MH157202,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_017_F_V7_O/2016,MH157205,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_022_F_V0_O/2016,MH157208,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_022_F_V3_O/2016,MH157195,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_022_F_V7_O/2016,MH157207,Tan et al,unpublished,NA,permission_not_received,no
MEX/41_023_F_V3_O/2016,MH157210,Tan et al,unpublished,NA,permission_not_received,no
MEX/42_001_F_V3_O/2016,MH157203,Tan et al,unpublished,NA,permission_not_received,no
MEX/42_016_F_V0_O/2016,MH157212,Tan et al,unpublished,NA,permission_not_received,no
MEX/42_018_F_V3_O/2016,MH157206,Tan et al,unpublished,NA,permission_not_received,no
MEX/43_023_F_V0_O/2016,MH157200,Tan et al,unpublished,NA,permission_not_received,no
MEX/43_023_F_V3_O/2016,MH157204,Tan et al,unpublished,NA,permission_not_received,no
SG_EHI_/33164Y17,MF988734,Tan et al,unpublished,NA,permission_not_received,no
HS_2015_BA_01,KX520666,Teixeira et al,unpublished,NA,permission_not_received,no
BR/NHP_17_05/2017,MG770183,Terzian et al,previously_published,30375482,not_necessary,yes
BR/NHP_17_17/2017,MG770184,Terzian et al,previously_published,30375482,not_necessary,yes
BR/NHP_17_18/2017,MG770185,Terzian et al,previously_published,30375482,not_necessary,yes
BR/NHP_17_19/2017,MG770186,Terzian et al,previously_published,30375482,not_necessary,yes
GTM/2016/Guatemala_2411,MF801380,Theze et al,previously_published,29805095,not_necessary,yes
GTM/2016/Guatemala_3921,MF801378,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_1031,MF801384,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_1055,MF801385,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_1083,MF801386,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_1122,MF801387,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_1162,MF801389,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_24,MF801381,Theze et al,previously_published,29805095,not_necessary,yes
HND/2016/Honduras_4102,MF801383,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex01,MF801393,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex05,MF801395,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex14,MF801396,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex16,MF801397,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex17,MF801398,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex19,MF801399,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex20,MF801400,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex23,MF801401,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex24,MF801402,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex25,MF801403,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex28,MF801406,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex30,MF801408,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex32,MF801410,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex33,MF801411,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex34,MF801412,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex35,MF801413,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex36,MF801414,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex40,MF801417,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex42,MF801418,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/mex47,MF801423,Theze et al,previously_published,29805095,not_necessary,yes
MEX/2016/Mexico_3502,MF801391,Theze et al,previously_published,29805095,not_necessary,yes
NIC/1304_13A1/2016,MF434516,Theze et al,previously_published,29805095,not_necessary,yes
NIC/1659_13A1/2016,MF434517,Theze et al,previously_published,29805095,not_necessary,yes
NIC/2016/Nicaragua_3912,MF801426,Theze et al,previously_published,29805095,not_necessary,yes
NIC/5256_13A1/2016,MF434518,Theze et al,previously_published,29805095,not_necessary,yes
NIC/6547_13A1/2016,MF434521,Theze et al,previously_published,29805095,not_necessary,yes
NIC/7253_13A1/2016,MF434522,Theze et al,previously_published,29805095,not_necessary,yes
GD01,KU740184,Tong et al,unpublished,NA,permission_not_received,no
ZJ02,KU761561,Tong et al,unpublished,NA,permission_not_received,no
ZJ03,KU761560,Tong et al,unpublished,NA,permission_not_received,no
PF13/251013_18,KX369547,Troesemeier et al,previously_published,27587826,not_necessary,yes
Paraiba_01,KX280026,Tsetsarkin et al,previously_published,27555311,not_necessary,yes
Mexico/INPER38b/2016,MG494697,Valdespino-Vazquez et al,unpublished,NA,permission_not_received,no
SL1602,KY348640,van Boheemen et al,previously_published,28539654,not_necessary,yes
Haiti/0029/2014,KY415986,White et al,unpublished,NA,permission_not_received,no
Haiti/0033/2014,KY415987,White et al,unpublished,NA,permission_not_received,no
Haiti/0036/2014,KY415990,White et al,unpublished,NA,permission_not_received,no
Haiti/0054/2014,KY415988,White et al,unpublished,NA,permission_not_received,no
Haiti/0074/2014,KY415989,White et al,unpublished,NA,permission_not_received,no
Haiti/0097/2014,KY415991,White et al,unpublished,NA,permission_not_received,no
mosquito/Haiti/1682/2016,MF384325,White et al,unpublished,NA,permission_not_received,no
mosquito/Haiti/1855/2016,MF783072,White et al,unpublished,NA,permission_not_received,no
mosquito/Haiti/1919/2016,MF783073,White et al,unpublished,NA,permission_not_received,no
EC/Esmeraldas/121/2016,MF794971,Wise et al,unpublished,NA,permission_not_received,no
GDZ16001,KU761564,Wu et al,unpublished,NA,permission_not_received,no
Z16006,KU955589,Wu et al,unpublished,NA,permission_not_received,no
Z16019,KU955590,Wu et al,unpublished,NA,permission_not_received,no
ZKC2/2016,KX253996,Wu et al,unpublished,NA,permission_not_received,no
Zhejiang04,KX117076,Zhang et al,unpublished,NA,permission_not_received,no
CN/SZ02/2016,KX185891,Zhao et al,unpublished,NA,permission_not_received,no
CDC_PR_10,10,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_18,18,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_70,70,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_93,93,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_104,104,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_172,172,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_219,219,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_232,232,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_236,236,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_245,245,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_255,255,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_256,256,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_266,266,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_269,269,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_270,270,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_272,272,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_275,275,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_282,282,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_285,285,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_295,295,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_323,323,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_326,326,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_347,347,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_350,350,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_372,372,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_375,375,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_451,451,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_455,455,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_461,461,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_484,484,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_489,489,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_503,503,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_511,511,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_523,523,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_534,534,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_540,540,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_552,552,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_554,554,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_556,556,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_569,569,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_588,588,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_590,590,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_599,599,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_611,611,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_613,613,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_615,615,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_617,617,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_650,650,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_657,657,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_700,700,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_723,723,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_770,770,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_774,774,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_778,778,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_781,781,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_787,787,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_799,799,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_802,802,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_841,841,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_852,852,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_871,871,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_880,880,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_884,884,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_885,885,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_894,894,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_920,920,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_947,947,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_961,961,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_966,966,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_983,983,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_984,984,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_986,986,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_987,987,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_992,992,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_996,996,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_999,999,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1000,1000,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1015,1015,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1019,1019,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1020,1020,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1025,1025,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
CDC_PR_1034,1034,grubaugh lab and dengue branch,unpublished,NA,co-authorship,yes
