origin	destination	origin_pop_size
canada	dominica	35362905.0
canada	saint_lucia	35362905.0
canada	el_salvador	35362905.0
canada	puerto_rico	35362905.0
canada	ecuador	35362905.0
canada	guyana	35362905.0
canada	grenada	35362905.0
canada	guadeloupe	35362905.0
canada	antigua_barbuda	35362905.0
united_states_virgin_islands	jamaica	102951.0
united_states_virgin_islands	honduras	102951.0
united_states_virgin_islands	colombia	102951.0
united_states_virgin_islands	mexico	102951.0
united_states_virgin_islands	saint_kitts_nevis	102951.0
united_states_virgin_islands	united_states	102951.0
united_states_virgin_islands	saint_vincent_grenadines	102951.0
united_states_virgin_islands	paraguay	102951.0
united_states_virgin_islands	nicaragua	102951.0
united_states_virgin_islands	barbados	102951.0
united_states_virgin_islands	canada	102951.0
united_states_virgin_islands	martinique	102951.0
united_states_virgin_islands	peru	102951.0
united_states_virgin_islands	curacao	102951.0
united_states_virgin_islands	panama	102951.0
united_states_virgin_islands	uruguay	102951.0
united_states_virgin_islands	bahamas	102951.0
united_states_virgin_islands	bermuda	102951.0
united_states_virgin_islands	aruba	102951.0
united_states_virgin_islands	suriname	102951.0
united_states_virgin_islands	costa_rica	102951.0
united_states_virgin_islands	bolivia	102951.0
united_states_virgin_islands	venezuela	102951.0
united_states_virgin_islands	french_guiana	102951.0
united_states_virgin_islands	cayman_islands	102951.0
united_states_virgin_islands	brazil	102951.0
united_states_virgin_islands	trinidad_tobago	102951.0
united_states_virgin_islands	dominican_republic	102951.0
united_states_virgin_islands	cuba	102951.0
united_states_virgin_islands	guatemala	102951.0
united_states_virgin_islands	chile	102951.0
united_states_virgin_islands	turks_caicos_islands	102951.0
united_states_virgin_islands	haiti	102951.0
united_states_virgin_islands	belize	102951.0
united_states_virgin_islands	argentina	102951.0
united_states_virgin_islands	dominica	102951.0
united_states_virgin_islands	saint_lucia	102951.0
united_states_virgin_islands	el_salvador	102951.0
united_states_virgin_islands	puerto_rico	102951.0
united_states_virgin_islands	ecuador	102951.0
united_states_virgin_islands	guyana	102951.0
united_states_virgin_islands	grenada	102951.0
united_states_virgin_islands	guadeloupe	102951.0
united_states_virgin_islands	antigua_barbuda	102951.0
martinique	jamaica	385551.0
martinique	honduras	385551.0
martinique	colombia	385551.0
martinique	mexico	385551.0
martinique	saint_kitts_nevis	385551.0
martinique	united_states	385551.0
martinique	saint_vincent_grenadines	385551.0
martinique	paraguay	385551.0
martinique	nicaragua	385551.0
martinique	barbados	385551.0
martinique	canada	385551.0
martinique	united_states_virgin_islands	385551.0
martinique	peru	385551.0
martinique	curacao	385551.0
martinique	panama	385551.0
martinique	uruguay	385551.0
martinique	bahamas	385551.0
martinique	bermuda	385551.0
martinique	aruba	385551.0
martinique	suriname	385551.0
martinique	costa_rica	385551.0
martinique	bolivia	385551.0
martinique	venezuela	385551.0
martinique	french_guiana	385551.0
martinique	cayman_islands	385551.0
martinique	brazil	385551.0
martinique	trinidad_tobago	385551.0
martinique	dominican_republic	385551.0
martinique	cuba	385551.0
martinique	guatemala	385551.0
martinique	chile	385551.0
martinique	turks_caicos_islands	385551.0
martinique	haiti	385551.0
martinique	belize	385551.0
martinique	argentina	385551.0
martinique	dominica	385551.0
martinique	saint_lucia	385551.0
martinique	el_salvador	385551.0
martinique	puerto_rico	385551.0
martinique	ecuador	385551.0
martinique	guyana	385551.0
martinique	grenada	385551.0
martinique	guadeloupe	385551.0
martinique	antigua_barbuda	385551.0
peru	jamaica	30741062.0
peru	honduras	30741062.0
peru	colombia	30741062.0
peru	mexico	30741062.0
peru	saint_kitts_nevis	30741062.0
peru	united_states	30741062.0
peru	saint_vincent_grenadines	30741062.0
peru	paraguay	30741062.0
peru	nicaragua	30741062.0
peru	barbados	30741062.0
peru	canada	30741062.0
peru	united_states_virgin_islands	30741062.0
peru	martinique	30741062.0
peru	curacao	30741062.0
peru	panama	30741062.0
peru	uruguay	30741062.0
peru	bahamas	30741062.0
peru	bermuda	30741062.0
peru	aruba	30741062.0
peru	suriname	30741062.0
peru	costa_rica	30741062.0
peru	bolivia	30741062.0
peru	venezuela	30741062.0
peru	french_guiana	30741062.0
peru	cayman_islands	30741062.0
peru	brazil	30741062.0
peru	trinidad_tobago	30741062.0
peru	dominican_republic	30741062.0
peru	cuba	30741062.0
peru	guatemala	30741062.0
peru	chile	30741062.0
peru	turks_caicos_islands	30741062.0
peru	haiti	30741062.0
peru	belize	30741062.0
peru	argentina	30741062.0
peru	dominica	30741062.0
peru	saint_lucia	30741062.0
peru	el_salvador	30741062.0
peru	puerto_rico	30741062.0
peru	ecuador	30741062.0
peru	guyana	30741062.0
peru	grenada	30741062.0
peru	guadeloupe	30741062.0
peru	antigua_barbuda	30741062.0
curacao	jamaica	149035.0
curacao	honduras	149035.0
curacao	colombia	149035.0
curacao	mexico	149035.0
curacao	saint_kitts_nevis	149035.0
curacao	united_states	149035.0
curacao	saint_vincent_grenadines	149035.0
curacao	paraguay	149035.0
curacao	nicaragua	149035.0
curacao	barbados	149035.0
curacao	canada	149035.0
curacao	united_states_virgin_islands	149035.0
curacao	martinique	149035.0
curacao	peru	149035.0
curacao	panama	149035.0
curacao	uruguay	149035.0
curacao	bahamas	149035.0
curacao	bermuda	149035.0
curacao	aruba	149035.0
curacao	suriname	149035.0
curacao	costa_rica	149035.0
curacao	bolivia	149035.0
curacao	venezuela	149035.0
curacao	french_guiana	149035.0
curacao	cayman_islands	149035.0
curacao	brazil	149035.0
curacao	trinidad_tobago	149035.0
curacao	dominican_republic	149035.0
curacao	cuba	149035.0
curacao	guatemala	149035.0
curacao	chile	149035.0
curacao	turks_caicos_islands	149035.0
curacao	haiti	149035.0
curacao	belize	149035.0
curacao	argentina	149035.0
curacao	dominica	149035.0
curacao	saint_lucia	149035.0
curacao	el_salvador	149035.0
curacao	puerto_rico	149035.0
curacao	ecuador	149035.0
curacao	guyana	149035.0
curacao	grenada	149035.0
curacao	guadeloupe	149035.0
curacao	antigua_barbuda	149035.0
panama	jamaica	3705246.0
panama	honduras	3705246.0
panama	colombia	3705246.0
panama	mexico	3705246.0
panama	saint_kitts_nevis	3705246.0
panama	united_states	3705246.0
panama	saint_vincent_grenadines	3705246.0
panama	paraguay	3705246.0
panama	nicaragua	3705246.0
panama	barbados	3705246.0
panama	canada	3705246.0
panama	united_states_virgin_islands	3705246.0
panama	martinique	3705246.0
panama	peru	3705246.0
panama	curacao	3705246.0
panama	uruguay	3705246.0
panama	bahamas	3705246.0
panama	bermuda	3705246.0
panama	aruba	3705246.0
panama	suriname	3705246.0
panama	costa_rica	3705246.0
panama	bolivia	3705246.0
panama	venezuela	3705246.0
panama	french_guiana	3705246.0
panama	cayman_islands	3705246.0
panama	brazil	3705246.0
panama	trinidad_tobago	3705246.0
panama	dominican_republic	3705246.0
panama	cuba	3705246.0
panama	guatemala	3705246.0
