origin	destination	great_circle_dist_km
turks_caicos_islands	dominican_republic	351.058147793
turks_caicos_islands	puerto_rico	679.953690437
turks_caicos_islands	united_states_virgin_islands	811.37194721
turks_caicos_islands	saint_kitts_nevis	1884.07804402
turks_caicos_islands	antigua_barbuda	1153.57487963
turks_caicos_islands	guadeloupe	1224.02609618
turks_caicos_islands	dominica	1294.97952335
turks_caicos_islands	martinique	1375.05144403
turks_caicos_islands	saint_lucia	1426.30409006
turks_caicos_islands	saint_vincent_grenadines	1461.37292977
turks_caicos_islands	barbados	1597.54042097
turks_caicos_islands	grenada	1502.90012558
turks_caicos_islands	trinidad_tobago	1661.12320993
turks_caicos_islands	curacao	1103.18379492
turks_caicos_islands	aruba	1038.11413912
turks_caicos_islands	french_guiana	2749.38301841
turks_caicos_islands	suriname	2498.23976585
turks_caicos_islands	guyana	2232.47004824
turks_caicos_islands	venezuela	1359.8707389
turks_caicos_islands	colombia	1778.01299188
turks_caicos_islands	ecuador	2714.42227395
turks_caicos_islands	peru	3670.99088605
turks_caicos_islands	bolivia	4400.06195367
turks_caicos_islands	brazil	5245.2120631
turks_caicos_islands	paraguay	5465.56822484
turks_caicos_islands	uruguay	6416.09287377
turks_caicos_islands	argentina	6161.67772579
turks_caicos_islands	chile	6161.53551409
cayman_islands	canada	3110.19052276
cayman_islands	united_states	2340.63599071
cayman_islands	bermuda	2202.9927816
cayman_islands	mexico	2025.55762708
cayman_islands	belize	776.980079285
cayman_islands	guatemala	1118.292673
cayman_islands	honduras	819.434547815
cayman_islands	el_salvador	1035.23232038
cayman_islands	nicaragua	926.046142143
cayman_islands	costa_rica	1082.24491542
cayman_islands	panama	1170.29962049
cayman_islands	bahamas	782.337868788
cayman_islands	cuba	342.75401851
cayman_islands	turks_caicos_islands	1037.92468709
cayman_islands	jamaica	472.769312763
cayman_islands	haiti	934.752029375
cayman_islands	dominican_republic	1171.48074526
cayman_islands	puerto_rico	1589.94575469
cayman_islands	united_states_virgin_islands	1737.2982717
cayman_islands	saint_kitts_nevis	2858.32374277
cayman_islands	antigua_barbuda	2075.10953609
cayman_islands	guadeloupe	2120.45889382
cayman_islands	dominica	2164.0385709
cayman_islands	martinique	2223.68122498
cayman_islands	saint_lucia	2251.28772285
cayman_islands	saint_vincent_grenadines	2254.87379346
cayman_islands	barbados	2419.74093699
cayman_islands	grenada	2248.70588298
cayman_islands	trinidad_tobago	2354.54866295
cayman_islands	curacao	1549.99091804
cayman_islands	aruba	1431.84867334
cayman_islands	french_guiana	3472.02624234
cayman_islands	suriname	3196.6510104
cayman_islands	guyana	2889.81528669
cayman_islands	venezuela	1790.8805073
cayman_islands	colombia	1640.81914668
cayman_islands	ecuador	2327.61487763
cayman_islands	peru	3410.61560143
cayman_islands	bolivia	4433.8700923
cayman_islands	brazil	5691.83443582
cayman_islands	paraguay	5623.56534665
cayman_islands	uruguay	6508.45095808
cayman_islands	argentina	6170.80522646
cayman_islands	chile	5995.65199862
jamaica	canada	3346.20135091
jamaica	united_states	2684.91026349
jamaica	bermuda	2012.96672333
jamaica	mexico	2496.47970174
jamaica	belize	1208.47289633
jamaica	guatemala	1504.2020544
jamaica	honduras	1167.67527642
jamaica	el_salvador	1376.68335872
jamaica	nicaragua	1160.49671009
jamaica	costa_rica	1182.02772345
jamaica	panama	1075.17048244
jamaica	bahamas	816.532171854
jamaica	cuba	508.88750995
jamaica	turks_caicos_islands	688.414712007
jamaica	cayman_islands	472.769312763
jamaica	haiti	490.708847796
jamaica	dominican_republic	727.330268768
jamaica	puerto_rico	1139.01313014
jamaica	united_states_virgin_islands	1286.04522956
jamaica	saint_kitts_nevis	2407.81487795
jamaica	antigua_barbuda	1617.05243054
jamaica	guadeloupe	1657.29570421
jamaica	dominica	1696.80333572
jamaica	martinique	1754.07657847
jamaica	saint_lucia	1779.96029652
jamaica	saint_vincent_grenadines	1782.36553881
jamaica	barbados	1947.79929201
jamaica	grenada	1776.15102486
jamaica	trinidad_tobago	1884.48374754
jamaica	curacao	1094.23535771
jamaica	aruba	979.714541219
jamaica	french_guiana	3003.57076301
jamaica	suriname	2729.54115421
jamaica	guyana	2425.5616516
jamaica	venezuela	1344.92644782
jamaica	colombia	1365.33328115
jamaica	ecuador	2195.38840791
jamaica	peru	3231.9165225
jamaica	bolivia	4142.27067759
jamaica	brazil	5279.06829694
jamaica	paraguay	5295.32649482
