origin	destination	pax_volume
bolivia	cuba	5945
bolivia	curacao	61
bolivia	dominican_republic	11553
bolivia	ecuador	9471
bolivia	el_salvador	975
bolivia	guatemala	1177
bolivia	guyana	32
bolivia	haiti	58
bolivia	honduras	664
bolivia	jamaica	195
bolivia	mexico	19437
bolivia	nicaragua	611
bolivia	panama	6954
bolivia	paraguay	18983
bolivia	peru	97957
bolivia	puerto_rico	544
bolivia	sint_maarten	27
bolivia	suriname	31
bolivia	trinidad_tobago	116
bolivia	turks_caicos_islands	3
bolivia	united_states	155001
bolivia	uruguay	3839
bolivia	venezuela	3966
bolivia	united_states_virgin_islands	4
brazil	antigua_barbuda	92
brazil	argentina	1599577
brazil	aruba	14122
brazil	bahamas	4164
brazil	barbados	2415
brazil	belize	394
brazil	bermuda	319
brazil	bolivia	86067
brazil	canada	138016
brazil	cayman_islands	377
brazil	chile	755361
brazil	colombia	246111
brazil	costa_rica	22566
brazil	cuba	21582
brazil	curacao	17292
brazil	dominica	24
brazil	dominican_republic	112044
brazil	ecuador	31623
brazil	el_salvador	5865
brazil	french_guiana	15625
brazil	grenada	21
brazil	guadeloupe	23
brazil	guatemala	7118
brazil	guyana	3743
brazil	haiti	6110
brazil	honduras	2933
brazil	jamaica	2573
brazil	martinique	75
brazil	mexico	283820
brazil	nicaragua	3915
brazil	panama	53216
brazil	paraguay	74693
brazil	peru	229735
brazil	puerto_rico	7168
brazil	saint_barthelemy	138
brazil	saint_kitts_nevis	123
brazil	saint_lucia	85
brazil	sint_maarten	2792
brazil	saint_vincent_grenadines	10
brazil	suriname	22222
brazil	trinidad_tobago	3855
brazil	turks_caicos_islands	889
brazil	united_states	2392667
brazil	uruguay	244569
brazil	venezuela	41600
brazil	british_virgin_islands	57
brazil	united_states_virgin_islands	338
canada	anguilla	22
canada	antigua_barbuda	22182
canada	argentina	32316
canada	aruba	37525
canada	bahamas	117503
canada	barbados	83066
canada	belize	10629
canada	bermuda	42472
canada	bolivia	5364
canada	brazil	120433
canada	cayman_islands	24561
canada	chile	46132
canada	colombia	79201
canada	costa_rica	143923
canada	cuba	1203166
canada	curacao	13666
canada	dominica	1963
canada	dominican_republic	680960
canada	ecuador	34535
canada	el_salvador	20882
canada	french_guiana	185
canada	grenada	13105
canada	guadeloupe	14857
canada	guatemala	29105
canada	guyana	28547
canada	haiti	38725
canada	honduras	7403
canada	jamaica	391373
canada	martinique	12259
canada	mexico	1748566
canada	nicaragua	22506
canada	panama	33192
canada	paraguay	4618
canada	peru	64470
canada	puerto_rico	51342
canada	saint_barthelemy	76
canada	saint_kitts_nevis	5500
canada	saint_lucia	38001
canada	sint_maarten	61488
canada	saint_martin	8
canada	saint_vincent_grenadines	5287
canada	suriname	1975
canada	trinidad_tobago	76854
canada	turks_caicos_islands	45477
canada	united_states	12361348
canada	uruguay	4998
canada	venezuela	8227
canada	british_virgin_islands	1039
canada	united_states_virgin_islands	8806
cayman_islands	antigua_barbuda	33
cayman_islands	argentina	152
cayman_islands	aruba	123
cayman_islands	bahamas	8190
cayman_islands	barbados	948
cayman_islands	belize	186
cayman_islands	bermuda	1174
cayman_islands	bolivia	75
cayman_islands	brazil	330
cayman_islands	canada	24225
cayman_islands	chile	84
cayman_islands	colombia	417
cayman_islands	costa_rica	290
cayman_islands	cuba	19054
cayman_islands	curacao	102
cayman_islands	dominica	1
cayman_islands	dominican_republic	824
cayman_islands	ecuador	86
cayman_islands	el_salvador	28
cayman_islands	grenada	126
cayman_islands	guadeloupe	2
cayman_islands	guatemala	89
cayman_islands	guyana	131
cayman_islands	haiti	60
cayman_islands	honduras	4108
cayman_islands	jamaica	35344
cayman_islands	martinique	7
cayman_islands	mexico	487
cayman_islands	nicaragua	141
cayman_islands	panama	524
cayman_islands	paraguay	2
cayman_islands	peru	204
cayman_islands	puerto_rico	737
cayman_islands	saint_kitts_nevis	120
cayman_islands	sint_maarten	316
cayman_islands	saint_vincent_grenadines	11
cayman_islands	suriname	17
cayman_islands	trinidad_tobago	691
cayman_islands	turks_caicos_islands	427
cayman_islands	united_states	402563
cayman_islands	uruguay	25
cayman_islands	venezuela	15
cayman_islands	british_virgin_islands	127
cayman_islands	united_states_virgin_islands	568
chile	antigua_barbuda	59
chile	argentina	708427
chile	aruba	7318
chile	bahamas	531
chile	barbados	237
chile	belize	260
chile	bermuda	68
chile	bolivia	65710
chile	brazil	607141
chile	canada	45792
chile	cayman_islands	104
chile	colombia	200813
chile	costa_rica	13150
chile	cuba	47202
chile	curacao	515
chile	dominica	5
chile	dominican_republic	118767
chile	ecuador	54157
chile	el_salvador	2243
chile	french_guiana	25
chile	grenada	27
chile	guadeloupe	25
chile	guatemala	4135
chile	guyana	152
chile	haiti	6228
chile	honduras	1695
chile	jamaica	4456
chile	martinique	15
chile	mexico	149146
chile	nicaragua	1243
chile	panama	22275
chile	paraguay	29365
chile	peru	325728
chile	puerto_rico	5163
chile	saint_barthelemy	28
chile	saint_kitts_nevis	80
chile	saint_lucia	43
chile	sint_maarten	981
chile	suriname	34
chile	trinidad_tobago	518
chile	turks_caicos_islands	148
chile	united_states	501342
chile	uruguay	89549
chile	venezuela	33943
chile	british_virgin_islands	7
chile	united_states_virgin_islands	171
colombia	anguilla	4
colombia	antigua_barbuda	38
colombia	argentina	163751
colombia	aruba	53089
colombia	bahamas	2282
colombia	barbados	2825
colombia	belize	920
colombia	bermuda	140
colombia	bolivia	27867
colombia	brazil	228618
colombia	canada	79357
colombia	cayman_islands	436
colombia	chile	211928
colombia	costa_rica	67110
colombia	cuba	54164
colombia	curacao	34553
colombia	dominica	21
colombia	dominican_republic	94389
colombia	ecuador	220357
colombia	el_salvador	42054
colombia	french_guiana	17
colombia	grenada	98
colombia	guadeloupe	22
colombia	guatemala	41983
colombia	guyana	994
colombia	haiti	1015
colombia	honduras	15287
colombia	jamaica	2758
colombia	martinique	22
colombia	mexico	487942
colombia	nicaragua	9545
colombia	panama	484150
colombia	paraguay	12473
colombia	peru	265630
colombia	puerto_rico	33845
colombia	saint_barthelemy	3
colombia	saint_kitts_nevis	51
colombia	saint_lucia	22
colombia	sint_maarten	5971
colombia	saint_vincent_grenadines	10
colombia	suriname	1149
colombia	trinidad_tobago	5301
colombia	turks_caicos_islands	117
colombia	united_states	1720308
colombia	uruguay	11830
colombia	venezuela	171073
colombia	british_virgin_islands	66
colombia	united_states_virgin_islands	179
costa_rica	antigua_barbuda	13
costa_rica	argentina	19934
costa_rica	aruba	1186
costa_rica	bahamas	1075
costa_rica	barbados	317
costa_rica	belize	2803
costa_rica	bermuda	261
costa_rica	bolivia	2369
costa_rica	brazil	21780
costa_rica	canada	142623
costa_rica	cayman_islands	307
costa_rica	chile	13245
costa_rica	colombia	68827
costa_rica	cuba	13433
costa_rica	curacao	678
costa_rica	dominica	6
costa_rica	dominican_republic	39372
costa_rica	ecuador	9302
costa_rica	el_salvador	69650
costa_rica	french_guiana	3
costa_rica	grenada	77
costa_rica	guadeloupe	12
costa_rica	guatemala	77237
costa_rica	guyana	386
costa_rica	haiti	332
costa_rica	honduras	50692
costa_rica	jamaica	1721
costa_rica	martinique	8
costa_rica	mexico	166687
costa_rica	nicaragua	48528
costa_rica	panama	137407
